fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1746,ANUPPUR,847475,312.155252010446,10,219,5.6410211,317,14,10571,125967,8628,23806,77288,140609,10.96248,409.816107399998,12542,16476,122780,249746,0,161566,318480,10888,393.212606299998,63280,79,62.99,68.16,100,NA
2025-2026,April,17,MADHYA PRADESH,1749,ALIRAJPUR,649629,323.554312453544,10,145,4.8531,104,29,11499,59196,6560,35997,49313,189067,59.00052,255.3848308,5854,8324,101801,236691,0,146576,322917,11603,191.5312108,23473,76,58.4,84.58,100,NA
2025-2026,April,17,MADHYA PRADESH,1751,AGAR-MALWA,356964,333.516815014481,8,21,0.17658,223,20,12146,34873,10574,32876,1441,4335,42.65545,159.1393489,4230,5737,57065,121962,0,110156,221936,12369,116.3073189,13651,81,22.7,33.64,100,NA
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,211954,478.228271005342,7,2,0,120,120,5047,6177,1820,17057,285,2735,13.76768,43.3078403,851,1051,37914,66025,0,81727,146656,5167,29.5401603,2274,50,24.6,4.14,100,NA
2025-2026,April,17,MADHYA PRADESH,1719,SHAJAPUR,186357,353.468362546749,7,14,0,186,64,7275,22193,4443,20159,2126,11106,11.86332,90.3085537,2951,3714,53522,95391,0,110129,187456,7461,78.4452337,7981,70,44.97,10.32,100,NA
2025-2026,April,17,MADHYA PRADESH,1730,RAISEN,296464,325.494612711406,9,17,0,348,132,15425,38847,7332,21762,5890,23164,25.54702,151.9919122,4118,5294,70814,123756,0,157606,249319,15773,126.4448922,13941,79,14.88,2.01,100,NA
2025-2026,April,17,MADHYA PRADESH,1732,NARMADAPURAM,214998,359.988730049446,8,17,1.899,71,113,11667,15977,3061,17840,3969,28931,20.01191,79.4263094,1884,2339,43055,91856,0,102863,198153,11738,57.5153994,5388,68,0.84,1.29,100,NA
2025-2026,April,17,MADHYA PRADESH,1739,SHEOPUR,370498,515.259890943756,7,17,0,232,93,19905,26225,4134,19473,5134,46440,11.96738,147.0942864,3329,4379,89590,150738,0,167394,274686,20137,135.1269064,11715,82,23.82,49.97,100,NA
2025-2026,April,17,MADHYA PRADESH,1742,BARWANI,519386,960.065942952512,8,19,11.8780006,285,81,13769,13182,1005,29695,11037,207173,24.39999,162.8338832,1516,2242,117844,273928,0,211972,468748,14054,126.5558926,5233,78,9.44,38.21,100,NA
2025-2026,April,17,MADHYA PRADESH,1751,AGAR-MALWA,356964,389.403474862048,7,14,0.17658,204,45,11732,19572,6617,32742,797,4280,11.73637,88.1269981,2510,3371,56825,121461,0,110134,221881,11936,76.2140481,7556,80,14.11,14.96,100,NA
